428 214
4 7 1419
8 36 287
37 38 1923
24 50 815
0 59 891
9 64 718
28 66 1179
58 69 393
25 73 1774
53 81 1654
31 84 154
29 96 691
52 107 545
17 109 1771
105 112 495
34 113 658
71 118 1421
12 119 701
87 130 827
35 131 1692
26 132 1426
68 133 1513
125 134 406
92 139 1871
85 143 1749
70 144 608
214 145 1589
22 147 631
74 151 1480
48 154 543
83 155 1781
141 156 811
94 157 272
128 161 206
11 162 251
75 171 794
111 174 680
77 175 965
43 177 929
170 178 413
1 180 212
3 181 410
126 182 1666
152 183 1157
88 184 949
172 186 1226
13 188 1312
23 190 695
187 192 661
153 193 1371
32 194 1015
106 202 694
95 204 1779
49 205 976
163 208 1825
14 211 1444
146 213 515
89 215 2125
176 216 962
54 218 1385
127 219 364
102 221 804
108 222 725
114 225 741
173 226 1165
98 227 783
220 230 1071
86 232 1347
200 233 1765
137 234 1149
148 235 1479
167 236 710
159 237 863
199 238 1025
56 239 738
76 240 1063
129 244 540
80 246 302
136 248 1486
40 250 779
168 251 1945
110 252 1295
79 254 2331
42 257 782
189 260 697
120 261 1015
197 262 435
41 263 964
228 264 244
100 265 1835
256 269 1118
203 271 970
67 272 78
65 274 1400
15 275 538
142 276 921
2 277 1089
16 280 696
164 282 626
224 284 1020
150 285 958
149 286 1917
45 287 2633
90 288 617
247 290 736
117 291 691
72 292 1022
206 293 969
19 294 1733
27 295 486
255 298 585
258 299 1099
217 301 939
259 302 1046
101 303 435
231 306 1071
185 307 268
283 308 360
99 310 882
249 314 732
60 317 1020
207 319 1317
296 320 542
55 321 289
138 323 361
304 324 676
57 325 1457
124 328 1907
279 330 1578
20 331 1298
316 332 380
116 333 659
47 334 574
300 336 1760
158 337 1367
313 338 870
212 339 1055
201 340 2121
122 344 993
281 345 1002
245 346 732
289 347 1546
104 348 1140
46 349 936
196 351 752
61 352 1198
169 353 1250
312 354 818
209 355 574
315 356 1308
165 357 894
10 358 148
103 359 908
326 360 765
160 361 610
78 362 1068
44 363 1163
268 365 2144
243 366 1620
364 367 1138
191 368 1929
309 369 661
305 371 1978
242 372 1939
342 373 1120
341 374 851
266 375 282
322 376 776
62 377 503
82 379 1037
195 380 286
273 381 325
278 382 484
350 383 885
33 384 958
30 385 964
327 386 549
378 387 337
297 388 1886
335 390 1066
97 391 632
140 392 885
18 393 1122
5 394 1617
21 395 1457
39 396 751
63 397 1669
223 398 751
179 399 260
329 400 645
121 401 245
210 402 1684
267 404 235
123 405 1552
343 406 1216
370 407 1408
198 409 1052
318 410 1652
6 411 1553
389 412 621
253 414 1392
241 415 453
229 416 326
408 417 1502
91 418 1117
403 419 992
166 420 1526
413 421 754
311 422 764
270 423 991
51 424 982
115 425 1065
135 426 65
93 427 1465
